title,category
"정의선, 젠슨 황 '삼소회동' 불참…오는 8일 개별 만남",Economic
"환율 급등 원흉, 서학개미서 외국인으로 바뀌었다",Economic
‘검은 금요일’ 코스피 5%대 급락해 8160 마감…코스닥도 4.5% 내려,Economic
'브로드컴 쇼크'에 코스피·코스닥 와르르…환율 1539원 마감,Economic
"“몇 분 만에 완판”…미래에셋증권, 스페이스X 공모주 1차 청약 조기마감",Economic
"[오늘증시]외인 3.5조 탈출 코스피, 8160까지 밀렸다…환율 1539.1원",Economic
"주주 설득 나선 휴온스글로벌 ""불법 없어…배당으로 보답""",Economic
[경제 포커스] 外人 주식 70조 팔았는데 비중은 오히려 늘어… ‘리밸런싱’에 고환율 지속,Economic
젠슨 황 “한국 제조업·AI 강점 커…R&D센터 채용 시작”,Economic
"젠슨 황 방한에도…8100선 위협받은 코스피, 약세 마감",Economic
"젠슨 황 ""삼성·SK HBM4 퀄테스트 통과…'베라 루빈' 공급 경쟁""",Economic
"""알러뷰 젠슨!""…BTS급 환호 쏟아진 김포공항 [젠슨황 2차 깐부회동]",Economic
젠슨 황이 마실 소주는?…주류업계 영업사원 총출동,Economic
"정의선 회장, '삼소 회동' 불참…8일 양재서 젠슨 황 만난다",Economic
'깐부' 이어 '형님'에 담긴 메시지…젠슨 황의 선택 이유는,Economic
"[마켓뷰] 검은 금요일… 코스피 5% 폭락, ‘천스닥’ 겨우 지켜",Economic
美 반도체 부진에 삼성전자 6%↓SK하이닉스 9%↓[핫스탁](종합),Economic
코스피 5.54% 급락하며 8160.59 마감... 코스닥도 하락,Economic
미 반도체 쇼크·외인 투매에 코스피 급락…아시아 증시 중 낙폭 최대,Economic
전쟁·외국인 매도세에 환율 1539.1원…금융위기 수준으로 치솟아,Economic
"젠슨 황, 어떤 '소맥' 마실까?…'테슬라' '카스처럼' 물밑 경쟁",Economic
'검은 금요일' 8300선 붕괴…환율 1550원 위협,Economic
"최태원-젠슨 황, 7개월간 6번 만나…'AI 동맹' 탄력",Economic
"""초심"" 말하며 공백 깬 백종원...'반토막' 더본코리아 냉기는 여전",Economic
"삼성중공업, 해양플랜트 ‘시더 FLNG’ 성공적 진수… “3기 동시 건조는 세계 최초”",Economic
홍대 고깃집 간다니 삼겹살주 급등…‘무지성’ 젠슨 황 테마주의 촌극,Economic
"스페이스X 투자 열기…미래에셋증권, 공모주 청약 ‘조기 마감’",Economic
"삼성중공업, 캐나다 '시더 FLNG' 진수…세계 첫 3기 동시 건조",Economic
젠슨 황 '삼소 회동' 식당 앞 인파 몰려⋯폴리스라인 설치,Economic
"[현대그룹 재정비] 'H&Q 동행 끝' 현대엘리베이터, 해외 사업 분기점",Economic
전쟁 중인데…이란 테헤란 부동산 80% 폭등,Economic
"트럼프 ""이란 협상 최종 단계""…유가 4일 만에 하락",Economic
PC방에서 페이커 만난 젠슨 황...저녁 '삼겹살 회동',Economic
"입국하자마자 페이커 부터 만난 젠슨 황, '백만달러 짜리' 선물 안겼다",Economic
"[현장] ""젠슨! 젠슨!"" 홍대에 울려퍼진 구호…지나가던 시민들도 ""연예인 왔어요?""",Economic
삼전·SK하이닉스도 비상?...머스크 '스페이스X' 자금 쏠림 [이슈톺],Economic
[현장] '무슨 일 났나' 시민도 발길 멈췄다…젠슨 황 '삼쏘회동' 앞 수백명 운집,Economic
"젠슨 황 찾는 홍대 고깃집… 벌써 인산인해, 경찰 통제도",Economic
