title,category
"李대통령 ""이겨야 할 곳 졌다면 문제 달라""…지선 결과에 ""국민의 경고""",Politics
"李대통령, '나무호 피격'에 ""이란 의도 아닌건 확실…엄중 항의""",Politics
"李 “골프와 선거는 고개들면 져…지선, 성공은 아냐”",Politics
李대통령 “투기 목적 주택 보유 부담 늘릴 것”…‘공급 속도전’ 의지 표명도,Politics
"이재명 대통령 ""지방선거 승패, 이길 곳 졌다면 최소한 성공은 아냐""",Politics
"李대통령 ""8천 깨졌으니 대폭락? 엄청 올라온 것""",Politics
"원내대표 출마 김도읍 ""노선변화 대동단결이 '강한 야당·정권 창출'의 길""",Politics
"李 ""부동산 공급 빠르게 늘릴 것…우리나라 보유세 대체로 낮아""",Politics
"李대통령 ""선거서 '부동산'은 상수…이 정부 정책, 악영향보다 좋은 영향이 더 많았다""",Politics
"李 “이스라엘 비판, 해도 해도 너무해서 한 것…주권-인권침해 넘어갈수 없어”",Politics
“초과이윤 처리 논의 신중해야…새싹 밟는 상황 우려”,Politics
"李 대통령 ""지방선거 결과, '국민의 경고'라고 생각""",Politics
"[속보] 이 대통령 “이스라엘군 비판, 해도 너무해서…욱해서 한 것 아냐”",Politics
[단독]전국서 투표용지 4726장 모자랐다…100장 넘게 부족했던 투표소 17곳 모두 서울,Politics
"李대통령, 투표지 부족 사태에 “모범적 민주국가 깡그리 망가트려”",Politics
"李대통령 ""주가, 아직도 약간 저평가됐다고 생각…국민연금도 올라가""",Politics
李 대통령 “이겨야 되는 곳 졌다면 문제달라…지선결과 국민경고”[취임1주년],Politics
"국민의힘 원내대표 도전 나선 김도읍, 정점식 저격…""윤어게인 프레임 벗어나야""",Politics
"이언주 ""책임 통감"" 사퇴하자…최민희 ""이러면 곤란"" 난색",Politics
"이기고도 진 민주당, 친문 책임론까지 등장…전대 앞두고 '사분오열'",Politics
"民 이언주 ""지선 결과 책임 통감"" 최고위원 전격 사퇴...지선 후폭풍",Politics
‘매불쇼’ 탱크 발언에 장동혁 “스타벅스처럼 똑같은 잣대 들이대야” [현장영상],Politics
[지상중계] 李대통령 취임 1주년 기자회견-5,Politics
[지상중계] 李대통령 취임 1주년 기자회견-4,Politics
“탱크로 밀어야” 친여 스피커 논란…국힘 “착한 탱크 따로 있나”,Politics
"[현장영상+] '투표용지 부족' 사태 관련 질문하자...이 대통령 ""어처구니 없는 일""",Politics
"李 “이스라엘 지적, 욱해서 한 거 아냐... 해도해도 너무해”",Politics
李 “서울 집값 상승 압력 잘 막아와…선거에 좋은 영향”,Politics
"李 “반도체 초과세수, 韓 성장 잠재력 키우는 방향에 투자해야”",Politics
"이 대통령 ""8000 깨졌다고 대폭락? 2700 비하면 엄청 올라온 것…주가 아직도 저평가""",Politics
"“시진핑 방북, 우정 아닌 견제”… 북한 놓칠 수 없는 중국의 셈법",Politics
"[단독] 정청래, 오늘 재보선 당선인과 만찬...송영길 불참",Politics
"조국혁신당 ""부정선거론, 이미 시위 장소서 환영 받지 못해.. 그게 국민 목소리""",Politics
서정욱 “한동훈 당선되니 전화 안받아…김건희 문자 씹듯”,Politics
"""아주 발랄해"" 대통령 상상도 못했다며…삼전 노조 얘기 콕 [현장영상]",Politics
"李대통령 ""반도체 초과세수, 미래 성장동력에 투자해야""",Politics
"조갑제 ""올림픽공원 시위대, '부정선거론' 장동혁·전한길과 선 그어야""",Politics
李대통령 “부동산 가격 상승 압력 나름 잘 방어…공급 대책 조만간 발표”,Politics
"‘재선거’ 올인, 장동혁의 마이웨이…마스크 쓰고 개표소 시위 참석",Politics
"李 대통령 ""보유세 대체로 낮다""…부동산 세제 개편 예고",Politics
"[바로이뉴스] 이 대통령, 출렁이는 코스피에도 ""아직도 저평가됐다 생각""..""매매 참고 자료는 아냐"" '빵' 터진 이유",Politics
"[속보] 시진핑, 7년 만에 北 국빈방문…전용기로 베이징서 출발",Politics
"[속보] 이 대통령 “부동산 정책, 선거에 좋은 영향 더 많았을 것…50% 정도는 잘한다는 평가”",Politics
"李대통령 ""반도체 초과세수, 새로운 성장동력 발굴에 투자해야""",Politics
‘평택을 낙선’ 조국 “서울 이사설은 허위…조치 검토할 것”,Politics
"與, '당권 경쟁' 계파 신경전 가열…지방선거 책임론 공방 지속",Politics
"李대통령 ""중동전쟁, 쉽게 안 끝나…최종결론 이르기 어려울 것""",Politics
"달아오르는 與 전대, 3파전 본격화…일각선 과열 우려",Politics
흰색 '초심 넥타이' 맨 李대통령…회견장 곳곳에 '대체불가 대한민국',Politics
김경수·조국 낙선에 담긴 민심…섣부른 복귀가 역풍 불렀나,Politics
李대통령 “코스피 여전히 저평가된 상태”,Politics
李대통령 “우리 보유세 대체로 낮아... 부동산 세제 7월 정리 가능”,Politics
"국힘 지지율 급등에 張거취 복잡…""결단해야"" vs ""선관위 집중""",Politics
혁신당 “민주진보 진영 연대·통합 노력…조국 더 강건해져 돌아올 것”,Politics
"김도읍 ""장동혁 거취 판단해야…원내대표 선거에 '윤어게인' 또 출마""",Politics
"李 “초과세수, 빚 상환보다 미래세대-성장잠재력 키우는데 투자”",Politics
'8천피' 찍은 국장의 재평가...기자 질문에 이 대통령의 자신감 [현장영상+],Politics
"李대통령 “초과세수, 잠재성장률 회복에 장기 투자”",Politics
"[취임 1주년 회견] 이 대통령 ""삼전 등 초과이윤 논쟁 신중해야""",Politics
"李 “서울 집값 잘 막았다 생각…부동산 정책, 선거 좋은 영향”",Politics
매불쇼 최욱 “탱크로 밀어야” 정준희 “몽둥이 들어야”…누구를?,Politics
"장동혁, 거듭 '재선거' 요구…""李대통령 합수본은 선관위 면죄부용""",Politics
"투표용지 부족사태 일파만파…張, 퇴진론 뚫나",Politics
"이 대통령 ""한국 보유세 대체로 낮아... 선진국만큼 보유 부담 가져야""",Politics
"매불쇼 최욱 ""일베, 전두환식 탱크로 밀어야""…與 ""한심하기 짝이 없다""",Politics
장동혁 ‘재선거’ 외치자 여야 한목소리 “선거 참패 책임 피하려는 것”,Politics
"""정원오 낙선은 이 대통령 탓""…김종인 ""부동산 발언 너무 많았다""",Politics
"무소속 최혁진, 민주당에 공식 복당 신청...“李 정부 성공의 밀알 되겠다”",Politics
"李 대통령 ""기본소득 먼저 도입하면 기업들 다 탈출할 것""",Politics
"김종인 ""보수 주자 吳와 韓뿐, 이준석은 아직…김부겸 욕심 내볼만 해""",Politics
"무소속 최혁진, 민주당 복당 선언…""李 정부 흔드는 세력과 전면전""",Politics
"국힘내 '재선거' 공감대 확산기류…""재선거 요구 과하다"" 반대도",Politics
"이언주 ""한동훈, 나름 시대교체 열망 받아...굉장히 위협적, '尹 검사' 이미지 극복 관건""[KBC 뉴스메이커]",Politics
"이준석 ""경찰 '치안 영웅'에 중국 공안 몰이… 시작은 '내 표가 사라졌다'였는데""",Politics
"민주, 8월 전대 신경전 격화… “정청래 반대운동”·“송영길 해당행위자”",Politics
"與 김영배, 장동혁 재선거 주장에 “오세훈 사퇴하면 보궐선거”",Politics
"이준석 ""집회 경찰관을 中공안으로 몰아…음모론 거부해야""",Politics
李대통령 “삼전 등 초과이윤 논쟁 신중해야… 이제 트는 경제 새싹 밟을라”,Politics
"장동혁 ""투표용지 사태, '국힘 주도' 국조·특검·재선거해야""",Politics
"최혁진, 민주당 복당 선언…""李정부 흔드는 세력과 전면전 펼칠 것""",Politics
여 정책위부의장 “정원오 됐으면 유혈사태···재선거해야”,Politics
"이 대통령 ""부채 상환 바보 같은 짓… 반도체 초과세수, 미래 투자에 써야""",Politics
"오영훈 제주지사, 베이징서 北공작원 리호남 직접 만났다... 8년 만의 제주·북한 접촉",Politics
李대통령 “초과세수로 빚 갚자는 주장은 바보짓”,Politics
"조국혁신당 ""민주진보 진영 연대·통합에 박차…조국, 강건해져 돌아올 것""",Politics
[지상중계] 李대통령 취임 1주년 기자회견-2,Politics
"“일정 급박” 비판에 국힘 원내대표 선거, 10일로 하루 연기",Politics
장동혁 “이재명 합수본은 ‘선관위 면죄부용’ 합수본”,Politics
'투표용지 부족' 사태 속 李 대통령 지지도 55.2%로 '뚝',Politics
[연합뉴스 이 시각 헤드라인] - 10:30,Politics
"""이번엔 내 몸보다 나라가 비상""…시위 독려 홍영기, 쏟아지는 악플에 '정면 돌파'",Politics
"“서울·경남·대구, 다시 하자”…민주당서도 ‘재선거’ 요구 확산",Politics
李 대통령 “조만간 대규모 투자 프로젝트 공개할 것…하루하루 임기 마지막 심정으로”,Politics
"[뉴스특보] 이 대통령, 취임 1년 회견…'개표소 시위' 계속",Politics
"장동혁 ""이재명과 민주당, 선관위 철벽 방어.. 특검보다 재선거가 먼저""",Politics
"이준석 ""전재수 무혐의 합수본 누가 믿나…야당 추천 참정권 특검해야""",Politics
"李대통령 ""대체불가 대한민국 꿈 시작된해…K이니셔티브 새시대""",Politics
김도읍 “지선 패배 지도부 거취 표명이 상식”… 장동혁 책임론 언급,Politics
장동혁 ‘재선거’ 촉구에…이준석 “오세훈 사퇴 종용이냐”,Politics
오늘 시진핑 방북…김여정 ‘비핵화 절대 불가’ 공언,Politics
"이준석 ""참정권 막힌 사고, 정당한 분노에 전혀 다른 게 올라타""",Politics
"이준석 ""멀쩡한 사람을 중국인·공안으로 몰아""…잠실 집회 일부 행위 비판",Politics
"李대통령 ""'대체 불가 대한민국'의 담대한 꿈 시작할 것""",Politics
'재선거' 외치는 장동혁... 그 무책임한 선동을 멈춰라,Politics
코르티스 가사 인용한 총리 후보자 “시대 바뀐 데 맞춰 과감히 울타리 넘겠다”,Politics
"“선거, 민주당 이긴 거 맞지?”…黨지지도 민주 41.8%·국힘 41.1%",Politics
"아이돌 노래 'REDRED' 가사 읊은 한성숙 후보자 ""과감히 울타리 넘겠다""",Politics
"“일베, 전두환식 탱크로 밀어야”…매불쇼 최욱 발언 논란 [뉴스플레이리스트]",Politics
"김재섭 ""투표용지 부족 사태, 야당 추천 특검·靑 국조 수용하라""",Politics
장동혁 “지금의 ‘무소불위’ 선관위 만든 건 민주당…재선거가 먼저”,Politics
"한성숙 국무총리 후보자 ""민생경제 비상 상황 타개 총력…몸 사리지 않겠다""",Politics
"최혁진, 민주당 복당 선언…""李정부 흔드는 세력과 맞서 싸울 것""",Politics
"장동혁, 투표용지 부족 사태에 ""재선거가 먼저"" [뉴시스Pic]",Politics
"조경태, 장동혁 향해 ""투표용지 부족을 선거패배 방패막이로 이용하면 안돼""",Politics
"""당이 대통령 지지도에만 의존""…이언주 사퇴, 정청래 책임론 불붙나",Politics
"""무거운 책임 통감"", ""백의종군""…이언주, 민주당 최고위원직 사퇴",Politics
"이언주 민주당 최고위원 사퇴…""지방선거 결과에 무거운 책임 통감""",Politics
"민주당 자성론 확산…이언주 지도부 사퇴 ""2030 이탈 무겁다""",Politics
"유의동, 장동혁 '재선거 요구'에 제동…""당내 협의 없는 개인 목소리일 뿐""",Politics
"""송도 1·2동 사전투표 득표수가 완전히 똑같다고?""…개표 결과 '시끌'",Politics
"이준석 ""정당한 분노 위에 보수 끝낸 그 레퍼토리.. 전한길 끼는 순간 명분 잃어""",Politics
"""도가니 사리기 레드레드"" 한성숙 총리 후보, 첫 출근길…반전 소감은",Politics
'투표지 사태' 국정조사 시동...'당권 싸움'도 점화,Politics
"與정민철 ""정원오 이겼다면 난리가, 재선거 하자"" vs 野박은식 ""현실적으로 힘들다""",Politics
눈에 띄는 강북 득표율...민주당 구청장 찍은 표심 흡수 못 한 정원오,Politics
"이대통령 ""이런 것이 주가조작""…공개 지적한 수상한 '교환사채'",Politics
최고위원 사퇴·지도부 비판…지선 후폭풍·당권경쟁에 커지는 與 파열음,Politics
李대통령 지지율 55.2%...민주·국힘 지지율 '비등',Politics
"""중심은 성장과 AI""‥새 총리에 한성숙 지명",Politics
김영록 전남지사 “정청래 연임 반대운동” 선언…또 직격,Politics
잠시 뒤 취임 1년 기자회견...'조작기소 특검' 등 입장 주목,Politics
"김재섭 “민주당 20, 30대 탓 말고 자신들 잘못부터 진단해야” [정치 시그널]",Politics
"장동혁 ""선관위 사태, 국조보다 특검…특검보다 재선거가 먼저""",Politics
[속보] 북측 인사 리호남 만난 오영훈 지사… 북한에 한라봉 묘목도 보냈다,Politics
"가슴엔 태극기, 팔엔 미군 계급장? 국군 복장 엉터리 묘사한 서울시",Politics
선관위가 대응할 문제라던 靑...돌연 비판 목소리 낸 이유? [Y녹취록],Politics
